"ALU_PLAN_ID";"ALU_EXP_ID";"notamedia";"PAU_CALIFICACION_NOTA_MATERIA";"PAU_CALIFICACION_NOTA_MATERIA_DECIL";"FISICA_NOTA_MATERIA";"FISICA_NOTA_MATERIA_DECIL";"MATEMATICAS_II_NOTA_MATERIA";"MATEMATICAS_II_NOTA_MATERIA_DECIL";"FUNDAMENTOS_DE_PROGRAMACION_NOTA";"FUNDAMENTOS_DE_PROGRAMACION_CONVOCS_PRESENTADAS_ACUMULA";"FUNDAMENTOS_DE_PROGRAMACION_CONVOCS_HASTA_1RA_VEZ_ACUMULA";"SISTEMAS_Y_CIRCUITOS_NOTA";"SISTEMAS_Y_CIRCUITOS_CONVOCS_PRESENTADAS_ACUMULA";"SISTEMAS_Y_CIRCUITOS_CONVOCS_HASTA_1RA_VEZ_ACUMULA";"TEORIA_DE_LA_COMUNICACION_NOTA";"TEORIA_DE_LA_COMUNICACION_CONVOCS_PRESENTADAS_ACUMULA";"TEORIA_DE_LA_COMUNICACION_CONVOCS_HASTA_1RA_VEZ_ACUMULA"
5041;1;2.79487179487179;9.34;10;9.6;10;9.8;10;8.6;1;1;7.3;1;1;9.8;1;1
5041;10;2.13125;8.1;9;8.7;10;7.25;5;6.9;1;1;10;1;1;7.3;1;1
5041;100;1.55714285714286;8.89;10;7.8;7;8.75;10;7.6;1;1;6.3;2;1;7;1;1
5041;102;1.39285714285714;8.19;9;9.3;9;5.5;7;7.2;2;1;7.2;1;3;7.2;2;1
5041;106;1.5;8.16;9;7.2;7;7.25;9;5.3;1;1;6.2;3;1;6.4;3;1
5041;107;1.18103448275862;7.8;8;4.6;3;5.25;6;5;1;1;6;2;1;6.1;1;1
5041;11;2.47368421052632;9.15;10;9.8;10;9;8;9;1;1;10;1;1;9;1;1
5041;110;1.30147058823529;7.96;8;6.4;6;9.5;10;7.5;2;1;7.8;1;1;7;1;1
5041;114;1.30833333333333;7.01;6;5.9;5;8.75;10;7.7;1;1;6.6;1;1;6.2;1;2
5041;115;1.65714285714286;8.61;9;10;10;5.3;7;9.3;1;1;7.4;1;1;6.2;1;3
5041;118;1.12903225806452;8.65;10;7.5;7;3.5;4;5.8;1;1;6.4;3;1;7;1;1
5041;119;1.23595505617978;6.66;5;5.8;5;2.25;2;7.9;2;1;5;1;3;5;1;1
5041;12;1.91875;7.97;8;4.1;4;9;8;8.4;2;1;7.1;3;1;7.5;1;1
